Year;Gener_name;Productions
1989;Drama;14509
1989;Comedy;9335
1989;Romance;6637
1989;Family;5525
1989;Talk-Show;3505
1989;Documentary;3342
1989;\N;2730
1989;Animation;2693
1989;Game-Show;2598
1989;Adventure;2360
1990;Drama;15234
1990;Comedy;9263
1990;Romance;8781
1990;Family;4939
1990;Documentary;3928
1990;\N;3317
1990;Game-Show;3163
1990;Talk-Show;3044
1990;Animation;3004
1990;Adventure;2540
1991;Drama;15461
1991;Comedy;11609
1991;Romance;8158
1991;Family;6131
1991;Animation;3896
1991;Documentary;3780
1991;Talk-Show;3180
1991;Game-Show;3158
1991;\N;3056
1991;Adventure;3014
1992;Drama;16244
1992;Comedy;11146
1992;Romance;8228
1992;Family;6514
1992;Documentary;4136
1992;Talk-Show;3943
1992;Animation;3611
1992;\N;3241
1992;Game-Show;2811
1992;Adventure;2683
1993;Drama;16938
1993;Comedy;11805
1993;Romance;8183
1993;Family;6889
1993;\N;4474
1993;Documentary;4380
1993;Talk-Show;4300
1993;Game-Show;3485
1993;Animation;3444
1993;Action;2975
1994;Drama;19118
1994;Comedy;12884
1994;Romance;8692
1994;Family;7309
1994;Talk-Show;5228
1994;Documentary;4986
1994;\N;3821
1994;Game-Show;3778
1994;Adventure;3480
1994;Animation;3338
1995;Drama;19913
1995;Comedy;15243
1995;Romance;9202
1995;Family;7793
1995;Talk-Show;6068
1995;Documentary;5366
1995;\N;5207
1995;Adventure;4098
1995;Game-Show;4030
1995;Animation;3999
1996;Drama;22445
1996;Comedy;15744
1996;Romance;9940
1996;Talk-Show;6983
1996;Family;6845
1996;\N;6246
1996;Documentary;5797
1996;Animation;4050
1996;Crime;3882
1996;Game-Show;3855
1997;Drama;23550
1997;Comedy;17943
1997;Romance;9628
1997;Family;7810
1997;Talk-Show;7561
1997;\N;6468
1997;Documentary;6173
1997;Animation;4652
1997;Adventure;4646
1997;News;4512
1998;Drama;25449
1998;Comedy;19323
1998;Romance;11495
1998;Family;8916
1998;Talk-Show;8284
1998;\N;7935
1998;Documentary;7237
1998;News;5565
1998;Animation;4974
1998;Adventure;4923
1999;Drama;28355
1999;Comedy;18823
1999;Romance;12599
1999;Family;9350
1999;Documentary;8618
1999;Talk-Show;7905
1999;\N;7456
1999;News;6014
1999;Animation;5703
1999;Short;5108
2000;Drama;27196
2000;Comedy;18756
2000;Romance;10453
2000;Documentary;9400
2000;Family;8655
2000;Talk-Show;7935
2000;\N;7568
2000;News;6611
2000;Short;5688
2000;Animation;5418
2001;Drama;30491
2001;Comedy;20686
2001;Romance;11736
2001;Documentary;10936
2001;Talk-Show;9419
2001;Family;9129
2001;\N;7754
2001;News;7409
2001;Short;6672
2001;Animation;6247
2002;Drama;31451
2002;Comedy;21911
2002;Documentary;11814
2002;Romance;11481
2002;Talk-Show;10567
2002;Family;9521
2002;Short;7832
2002;\N;7501
2002;Animation;6977
2002;News;6967
2003;Drama;35383
2003;Comedy;24480
2003;Romance;14288
2003;Documentary;14042
2003;Talk-Show;12507
2003;Family;10338
2003;Short;9384
2003;News;7428
2003;Animation;7042
2003;Adventure;5719
2004;Drama;36391
2004;Comedy;26430
2004;Documentary;16622
2004;Romance;16098
2004;Talk-Show;14980
2004;Short;11930
2004;Family;10668
2004;News;8953
2004;Animation;7301
2004;Music;7051
2005;Drama;41694
2005;Comedy;29746
2005;Documentary;18666
2005;Romance;18130
2005;Talk-Show;17296
2005;Short;14747
2005;Family;11147
2005;News;10593
2005;Animation;8524
2005;Reality-TV;8182
2006;Drama;45636
2006;Comedy;34766
2006;Documentary;20538
2006;Romance;19797
2006;Talk-Show;18915
2006;Short;16116
2006;Family;12504
2006;News;11140
2006;Reality-TV;10641
2006;Animation;9975
2007;Drama;52234
2007;Comedy;38318
2007;Documentary;22507
2007;Talk-Show;20604
2007;Romance;19222
2007;Short;18547
2007;Family;14131
2007;News;13752
2007;Reality-TV;13629
2007;Animation;9885
2008;Drama;56524
2008;Comedy;40974
2008;Documentary;22937
2008;Short;22372
2008;Talk-Show;20304
2008;Romance;19380
2008;Reality-TV;15419
2008;Family;14245
2008;News;13280
2008;Animation;10325
2009;Drama;59169
2009;Comedy;44031
2009;Short;26511
2009;Documentary;24556
2009;Talk-Show;21816
2009;Romance;21349
2009;Reality-TV;16274
2009;News;14326
2009;Family;13098
2009;Animation;10717
2010;Drama;65929
2010;Comedy;50346
2010;Short;30248
2010;Talk-Show;28254
2010;Documentary;27315
2010;Romance;22753
2010;Reality-TV;19593
2010;News;19364
2010;Family;16080
2010;Animation;11620
2011;Drama;70262
2011;Comedy;59344
2011;Short;36304
2011;Talk-Show;35804
2011;Documentary;30311
2011;News;23610
2011;Reality-TV;23603
2011;Romance;22586
2011;Family;16691
2011;Animation;12815
2012;Drama;75407
2012;Comedy;68019
2012;Short;42194
2012;Talk-Show;39613
2012;News;37695
2012;Documentary;33511
2012;Reality-TV;25381
2012;Romance;21631
2012;Family;16802
2012;Animation;13418
2013;Drama;75817
2013;Comedy;74386
2013;Short;46172
2013;Talk-Show;45935
2013;News;41565
2013;Documentary;35047
2013;Reality-TV;26031
2013;Romance;22679
2013;Family;18335
2013;Animation;13790
2014;Drama;82125
2014;Comedy;79555
2014;Short;50833
2014;Talk-Show;47685
2014;News;40595
2014;Documentary;36113
2014;Reality-TV;27090
2014;Romance;26789
2014;Family;18492
2014;Animation;15181
2015;Drama;83275
2015;Comedy;83067
2015;Short;53157
2015;Talk-Show;49773
2015;News;40469
2015;Documentary;38375
2015;Reality-TV;29003
2015;Romance;24880
2015;Family;19691
2015;Animation;16464
2016;Comedy;87131
2016;Drama;83093
2016;Short;58726
2016;Talk-Show;54385
2016;News;43722
2016;Documentary;40463
2016;Reality-TV;29120
2016;Romance;23753
2016;Family;20233
2016;Animation;17949
2017;Drama;92767
2017;Comedy;87356
2017;Short;61094
2017;Talk-Show;57545
2017;News;44945
2017;Documentary;40859
2017;Reality-TV;29696
2017;Romance;24613
2017;Family;19968
2017;Animation;18366
2018;Drama;94040
2018;Comedy;83313
2018;Short;61396
2018;Talk-Show;58113
2018;News;51099
2018;Documentary;40231
2018;Reality-TV;29999
2018;Romance;26139
2018;Animation;18654
2018;Family;18558
2019;Drama;88985
2019;Comedy;76130
2019;Talk-Show;57223
2019;Short;56529
2019;News;50000
2019;Documentary;38190
2019;Reality-TV;28976
2019;Romance;22747
2019;Animation;18016
2019;Family;17843
2020;Comedy;69275
2020;Drama;65631
2020;Talk-Show;62595
2020;News;55346
2020;Short;53911
2020;Documentary;37265
2020;Reality-TV;25431
2020;Animation;17026
2020;Romance;16671
2020;Family;16051
2021;Drama;85725
2021;News;68463
2021;Talk-Show;63262
2021;Comedy;60945
2021;Short;45052
2021;Documentary;36775
2021;Reality-TV;24312
2021;Romance;23130
2021;Animation;16289
2021;Family;15388
