1989;tvSeries;Seinfeld;8.9;Comedy
1990;tvSeries;Twin Peaks;8.8;Crime,Drama,Mystery
1991;movie;Terminator 2: Judgment Day;8.6;Action,Sci-Fi
1991;movie;The Silence of the Lambs;8.6;Crime,Drama,Thriller
1992;tvSeries;Batman: The Animated Series;9;Action,Adventure,Animation
1993;movie;Schindler's List;9;Biography,Drama,History
1994;movie;The Shawshank Redemption;9.3;Drama
1995;movie;Se7en;8.6;Crime,Drama,Mystery
1995;tvSeries;Dragon Ball;8.6;Action,Adventure,Animation
1996;movie;Eskiya;8.2;Crime,Drama,Thriller
1996;movie;Trainspotting;8.2;Drama
1997;tvSeries;South Park;8.8;Animation,Comedy
1998;tvSeries;Kaubôi bibappu;8.9;Action,Adventure,Animation
1999;tvSeries;The Sopranos;9.2;Crime,Drama
2000;tvSeries;Curb Your Enthusiasm;8.8;Comedy
2001;movie;The Lord of the Rings: The Fellowship of the Ring;8.9;Action,Adventure,Drama
2002;tvSeries;The Wire;9.3;Crime,Drama,Thriller
2003;movie;The Lord of the Rings: The Return of the King;9;Action,Adventure,Drama
2004;tvSeries;House M.D.;8.8;Drama,Mystery
2005;tvSeries;Avatar: The Last Airbender;9.3;Action,Adventure,Animation
2006;tvSeries;Death Note: Desu nôto;9;Animation,Crime,Drama
2007;tvSeries;Naruto: Shippûden;8.8;Action,Adventure,Animation
2008;tvSeries;Breaking Bad;9.5;Crime,Drama,Thriller
2009;tvSeries;Hagane no renkinjutsushi;9.1;Action,Adventure,Animation
2010;tvSeries;Sherlock;9.1;Crime,Drama,Mystery
2011;tvSeries;Game of Thrones;9.3;Action,Adventure,Drama
2011;tvSeries;Leyla ile Mecnun;9.3;Adventure,Comedy,Drama
2012;tvSeries;Gravity Falls;8.9;Action,Adventure,Animation
2013;tvSeries;Rick and Morty;9.2;Adventure,Animation,Comedy
2014;tvSeries;Fargo;8.9;Crime,Drama,Thriller
2014;tvSeries;Last Week Tonight with John Oliver;8.9;Comedy,History,News
2014;tvSeries;True Detective;8.9;Crime,Drama,Mystery
2015;tvSeries;Better Call Saul;8.8;Crime,Drama
2015;tvSeries;Narcos;8.8;Biography,Crime,Drama
2015;tvSeries;One Punch Man: Wanpanman;8.8;Action,Animation,Comedy
2016;movie;Dag II;9;Action,Drama,War
2017;tvSeries;Dark;8.8;Crime,Drama,Mystery
2018;tvSeries;Yellowstone;8.9;Drama,Western
2019;tvSeries;Kota Factory;9.3;Comedy,Drama
2020;tvSeries;Scam 1992: The Harshad Mehta Story;9.6;Biography,Crime,Drama
2021;tvSeries;Dhindora;9.8;Comedy,Drama
